"ID"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"
"9295"	"MKI67"	5.19901972601098	3.29497545722925	118.026724696565	7.8578205491998e-18	8.47898623691819e-16
"6071"	"GPRC5B"	-4.56088345309425	6.51008150745452	-117.169965613533	8.40761634926063e-18	9.01518560619777e-16
"4522"	"ENPP2"	-4.52096541742845	5.2549548123184	-117.061461982452	8.48513125348673e-18	9.04143767129345e-16
"12473"	"RIMS1"	-5.8734357869301	3.35932949565873	-117.156156057359	8.57270183189481e-18	9.04368579501729e-16
"2259"	"CALN1"	-5.22766712434385	3.08166722885288	-117.008945150163	8.59768678085021e-18	9.04368579501729e-16
"4811"	"FAIM2"	-8.28927600720763	5.01070830036991	-117.587918220629	8.67710412208468e-18	9.04368579501729e-16
"7265"	"KCNJ10"	-4.85019119292971	3.95894458510711	-116.706856419656	8.78741727351466e-18	9.04368579501729e-16
"3171"	"CNR1"	-4.69639485616	2.87984551218519	-116.669046706049	8.8013102758815e-18	9.04368579501729e-16
"1336"	"BIRC5"	5.66277027246026	3.78757379114919	116.813412053835	8.80551259295484e-18	9.04368579501729e-16
"8836"	"MAGEA3"	5.41849960451727	3.34179384565485	116.50549586365	9.01479283165278e-18	9.20318580759571e-16
"10311"	"NTM"	-5.75202966990931	4.01319569088959	-116.388386302919	9.1572428330232e-18	9.29296625358408e-16
"3746"	"DCT"	6.74271290961326	4.72265884256893	116.148224707737	9.52845254661916e-18	9.61246079688225e-16
"16463"	"ZIC4"	-5.6854305349434	3.59661018651218	-115.388819882942	1.0000811864737e-17	9.99375759246939e-16
"11795"	"PSD2"	-5.72528286556764	3.37988981408958	-115.370655691396	1.00236526970043e-17	9.99375759246939e-16
"10798"	"PCLO"	-4.10109846406907	2.81875898816901	-114.896116854825	1.0254770083447e-17	1.01647427414354e-15
"5125"	"FAT2"	-5.85528262496606	3.33708799867837	-115.030173881456	1.03573625192746e-17	1.02070909590238e-15
"7626"	"KRT18"	6.64503917239959	7.23393504869884	114.918002520676	1.06170606113866e-17	1.04028888714673e-15
"685"	"APBA1"	-5.12845436666731	3.34524079401712	-114.564311025858	1.06815796451474e-17	1.04063000782925e-15
"15686"	"UBE2C"	7.1167695777108	4.44604647471958	114.67147242768	1.09615259598768e-17	1.05963660083255e-15
"7491"	"KIF20A"	5.19362093474497	3.31576269095904	114.248282052839	1.10009782595673e-17	1.05963660083255e-15
"10146"	"NOL4"	-4.2475426455205	2.46130352609857	-113.761104255457	1.13770424388734e-17	1.0897033513503e-15
"9854"	"NCAN"	-5.30428763943253	3.03446675548943	-113.780174926022	1.14961965965938e-17	1.09496455740406e-15
"3976"	"DLGAP1"	-5.7157828560636	4.13529530816794	-113.783204844934	1.1566353255311e-17	1.09552642583221e-15
"16034"	"VSNL1"	-6.58050526214697	6.99464640800662	-113.79255021624	1.17397384458543e-17	1.10099769019795e-15
"10624"	"PAK7"	-4.42877807528039	2.54347244575245	-113.421636466164	1.17532746563451e-17	1.10099769019795e-15
"2945"	"CHN2"	-4.30500841891938	5.05474746633952	-113.064822520643	1.21289090670341e-17	1.12384597121781e-15
"9310"	"MLC1"	-5.77876985298691	4.00418988107271	-113.27329464616	1.21290198078525e-17	1.12384597121781e-15
"9965"	"NEFL"	-6.76033358882247	5.44976401077579	-113.188046037945	1.24494008028951e-17	1.14729640155977e-15
"1716"	"C18orf42"	-3.99568791887791	2.30332996369625	-112.653625022725	1.2564187326336e-17	1.15164962218657e-15
"1047"	"ATP1B2"	-6.19287085306658	5.62564999262794	-112.711856289322	1.28619942909633e-17	1.17264246345793e-15
"409"	"AKAP6"	-4.43463133672247	3.43301218006675	-112.071570358601	1.33036830104302e-17	1.20646006194055e-15
"3512"	"CTNNA2"	-4.80136338951976	3.97395364764155	-111.971290439246	1.34798095935774e-17	1.21314671382252e-15
"9533"	"MRVI1"	-4.26021893430033	2.85806028073807	-111.88014660945	1.35197299329157e-17	1.21314671382252e-15
"2909"	"CHD5"	-4.91428906669693	3.07970119243634	-111.840323650731	1.3662482740389e-17	1.21361261330236e-15
